Accession,Organelle
Q6P1M0,Endoplasmic Reticulum
Q6UWP7,Endoplasmic Reticulum
Q6UWW8,Endoplasmic Reticulum
Q7Z2K6,Endoplasmic Reticulum
Q7Z7H5,Endoplasmic Reticulum
Q8IXB1,Endoplasmic Reticulum
Q8NBJ5,Endoplasmic Reticulum
Q8NBL1,Endoplasmic Reticulum
Q8NBS9,Endoplasmic Reticulum
Q8TC12,Endoplasmic Reticulum
Q8TCJ2,Endoplasmic Reticulum
Q92521,Endoplasmic Reticulum
Q92643,Endoplasmic Reticulum
Q969N2,Endoplasmic Reticulum
Q969V3,Endoplasmic Reticulum
Q96SQ9-2,Endoplasmic Reticulum
Q9BPW9-4,Endoplasmic Reticulum
Q9BQB6,Endoplasmic Reticulum
Q9BS26,Endoplasmic Reticulum
Q9BT22,Endoplasmic Reticulum
Q9BU23,Endoplasmic Reticulum
Q9BZQ6,Endoplasmic Reticulum
Q9H0X9,Endoplasmic Reticulum
Q9H3H5,Endoplasmic Reticulum
Q9H3N1,Endoplasmic Reticulum
Q9H6U8-3,Endoplasmic Reticulum
Q9HD20,Endoplasmic Reticulum
Q9NTJ5,Endoplasmic Reticulum
Q9P035,Endoplasmic Reticulum
Q9UBM7,Endoplasmic Reticulum
Q9UBV2,Endoplasmic Reticulum
Q9UGP8,Endoplasmic Reticulum
Q9Y4P3,Endoplasmic Reticulum
Q9Y5M8,Endoplasmic Reticulum
Q9Y673,Endoplasmic Reticulum
Q9Y679,Endoplasmic Reticulum
Q9Y680,Endoplasmic Reticulum
O00391,Golgi Apparatus
O00461,Golgi Apparatus
O00559-2,Golgi Apparatus
O60476,Golgi Apparatus
O60645-3,Golgi Apparatus
O60704,Golgi Apparatus
O75063,Golgi Apparatus
O94766,Golgi Apparatus
O95159,Golgi Apparatus
O95249,Golgi Apparatus
P22083,Golgi Apparatus
P26572,Golgi Apparatus
P33908,Golgi Apparatus
P98194-7,Golgi Apparatus
Q10469,Golgi Apparatus
Q10471,Golgi Apparatus
Q10472,Golgi Apparatus
Q16706,Golgi Apparatus
Q7LGA3,Golgi Apparatus
Q86SF2,Golgi Apparatus
Q86X52,Golgi Apparatus
Q8IUH4,Golgi Apparatus
Q8NBJ4,Golgi Apparatus
Q8NDZ4,Golgi Apparatus
Q8NEW0,Golgi Apparatus
Q8TB61,Golgi Apparatus
Q8TBA6,Golgi Apparatus
Q92544,Golgi Apparatus
Q92896-2,Golgi Apparatus
Q96EC8,Golgi Apparatus
Q96L58,Golgi Apparatus
Q9BYC5,Golgi Apparatus
Q9HBR0,Golgi Apparatus
Q9NX62,Golgi Apparatus
Q9P2E5,Golgi Apparatus
Q9Y3E0,Golgi Apparatus
Q11201,Golgi Apparatus
Q9GZM5,Golgi Apparatus
Q9H4A6,Golgi Apparatus
O00115,Lysosome
O00754,Lysosome
O14773,Lysosome
O15118,Lysosome
P04062,Lysosome
P06280,Lysosome
P06865,Lysosome
P07339,Lysosome
P07602-3,Lysosome
P07686,Lysosome
P07858,Lysosome
P08236,Lysosome
P10253,Lysosome
P10619,Lysosome
P11117,Lysosome
P11717,Lysosome
P13284,Lysosome
P15289,Lysosome
P15586,Lysosome
P15848,Lysosome
P16278,Lysosome
P17050,Lysosome
P20645,Lysosome
P25774,Lysosome
P42785,Lysosome
P50897,Lysosome
P53634,Lysosome
Q01459,Lysosome
Q14108,Lysosome
Q8NHP8,Lysosome
Q96RQ9-2,Lysosome
Q99519,Lysosome
Q9HAT2,Lysosome
Q9UBR2,Lysosome
Q9UHL4,Lysosome
P11279,Lysosome
Q9Y2E5,Lysosome
Q8NCC3,Lysosome
Q13510-2,Lysosome
Q68CP4,Lysosome
Q9NRA2,Lysosome
Q92820,Lysosome
P61626,Lysosome
P07711,Lysosome
P86790,Lysosome
P35475,Lysosome
Q9H3G5,Lysosome
Q9NUM4,Lysosome
Q96B45,Lysosome
A3KMH1,Mitochondria
O00330,Mitochondria
O00411,Mitochondria
O00483,Mitochondria
O14880,Mitochondria
O14949,Mitochondria
O15091,Mitochondria
O15382,Mitochondria
O43615,Mitochondria
O43716,Mitochondria
O43837,Mitochondria
O60313-2,Mitochondria
O75027-2,Mitochondria
O75208,Mitochondria
O75306,Mitochondria
