"","0","2","4","6","12","24"
"P02795",-1.04062249926591,-0.835546100008126,-0.660411956360545,0.201909782122472,1.07592366372163,1.25874710979048
"P04179",-0.689992740843614,-0.611176584592724,-0.478294616253205,-0.303381057994686,0.130256832307633,1.9525881673766
"O14879",-0.872015586823168,-0.875842930774095,-0.575234280825851,-0.0164228898228688,0.719948462257413,1.61956722598857
"Q9BYX4",-0.857769272149577,-0.846453621980881,-0.728372126885636,-0.0107491390980749,1.09490201262362,1.34844214749055
"P00973",-0.888339192616237,-0.721988717088139,-0.650179732673382,-0.188104245756047,0.882532049617974,1.56607983851583
"P05362",-0.812188293814968,-0.713187090476938,-0.467308416923395,-0.225293380012682,0.366402333826952,1.85157484740103
"P01584",-1.09872550559323,-0.441561828571238,0.0439716513013567,-0.28786320681249,-0.0880583827298409,1.87223727240545
"P20591",-0.71835657449051,-0.727977552622597,-0.627050598683638,-0.34674322264644,0.704060241238716,1.71606770720447
"P09913",-1.04055117973516,-0.921075421554918,-0.402831543411034,0.0985566914402891,0.726913820413835,1.53898763284699
"Q96J88-2",-0.898515338295583,-0.887251445288361,-0.67019621739098,0.182703199479954,1.54836802639862,0.724891775096347
"Q9UII4",-0.757442151528528,-0.251173144149498,-0.952366650540655,-0.267504361978687,0.442842750057001,1.78564355814037
"P17275",-1.92796093067603,0.35280879788097,-0.176588155268842,0.550546831564273,0.373909110999636,0.827284345499992
"Q8IV20",-0.567923228551406,-0.722418767240161,-0.580067344124539,-0.533234833845332,0.633489366356664,1.77015480740477
"Q8WXG1",-0.930989814113086,-0.837901315050327,-0.699106938232871,0.0444699681063818,1.16871152891721,1.2548165703727
"P33121",-0.704451175641975,-0.721839339265594,-0.621893724888599,-0.261212756906431,0.49855241865209,1.81084457805051
"O95786",-0.822048766385939,-0.800070083329507,-0.6790348826717,-0.140859314849271,0.888230241753612,1.5537828054828
"P20592",-0.802147560272795,-0.733615614519959,-0.659279793922907,-0.27853427404406,0.885473915425764,1.58810332733396
"Q96RQ9-2",-0.795627508102037,-0.846282231208488,-0.621321229917605,-0.196725001579129,0.913473034933376,1.54648293587388
"P14780",-0.553847789997588,-0.641511166440239,-0.450611654015804,-0.491303734872684,0.187355432066669,1.94991891325965
"Q5EBM0",-0.752121065624939,-0.722214327857314,-0.816721307256782,-0.157428275726414,0.89005416440401,1.55843081206144
"P32455",-0.579027842772276,-0.523646803758204,-0.556760584806505,-0.47413920032078,0.178063264193304,1.95551116746446
"P09914",-0.830812810920447,-0.82482794210676,-0.580877421953376,-0.128493375983438,0.693200148073666,1.67181140289036
"P02778",-1.22544434843399,-0.891389112265143,-0.537248923533398,1.04349304855069,0.684467421102202,0.926121914579633
"Q13501",-1.35285774298791,-0.867395813288774,-0.326014988833631,0.56972636943731,0.859494080488055,1.11704809518495
"Q9Y6K5",-0.737728788149314,-0.655627061286653,-0.62781809019695,-0.409828615776203,0.71106712404625,1.71993543136287
"P25942",-0.739122799628702,-0.723620159269021,-0.6993320119263,-0.188949073696166,0.609099051073459,1.74192499344673
"Q9BQE5",-0.727859707595848,-0.834696536298668,-0.696009094361145,-0.10439632716403,0.688337461229893,1.6746242041898
"P32456",-0.760393348811313,-0.596566897937817,-0.560905023194295,-0.341450401971947,0.393976717321435,1.86533895459394
"Q13325",-1.04695692819489,-0.699167370161769,-0.406753578502107,-0.208869681032865,0.724230921713154,1.63751663617848
"O15162",-1.22531490809492,-1.12610593885909,-0.148429130573282,0.699588482296894,0.678136588348792,1.12212490688161
"P14598",-0.593891366857503,-0.600744859094787,-0.601329186040212,-0.464074474840639,0.369905937025906,1.89013394980723
"Q13571",-1.04858844767564,-0.458931277787045,-0.276145668330505,-0.548670134764125,0.621808281094622,1.71052724746269
"Q96PP9",-0.778686792123163,-0.768920640095943,-0.676972316387667,-0.219061320347089,0.827842290889226,1.61579877806463
"P29728-2",-0.74775763401022,-0.672010920898729,-0.64266451953408,-0.400337287949132,0.793576270115439,1.66919409227672
"Q92985-4",-0.983153727540062,-0.899122212730802,-0.734137352056284,0.565578052731111,1.38817733310585,0.662657906490191
"Q16666",-0.681813227603181,-0.670624602720282,-0.566785327747879,-0.318004692667671,0.356896607553535,1.88033124318548
"Q9UN19",-1.12602362378996,-0.945383952877887,-0.4026637113194,0.198717200912216,0.982636276041546,1.29271781103349
"P05161",-0.826284041799438,-0.634365906959027,-0.781132650714048,-0.224823076898246,0.907688677647281,1.55891699872348
"P19525",-0.74682871176769,-0.756046347787303,-0.626651568777866,-0.236003550656623,0.624023460095427,1.74150671889405
"Q96AZ6",-0.729370885575048,-0.369409040938314,-0.732049690637354,-0.597395217319323,0.718814853571652,1.70940998089839
"Q9H930",-0.877898480564961,-0.830480138761779,-0.914866312073935,0.434680296018682,0.850600058789223,1.33796457659277
"P13501",-0.960485531260227,-0.402362827398809,-0.00300555027119526,-0.602564691281389,0.0855596002709991,1.88285899994062
"Q460N5",-0.992529597207904,-0.986467305206451,-0.570170008328966,0.256617649269599,1.25334876386125,1.03920049761247
