"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"IFIT3",2.70625955045686,3.77346801197795,20.0700688351555,1.08385305307743e-08,2.83776140092633e-05,9.9931942094733,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT3"
"IFIT2",2.77785472454564,3.10572418774787,19.6155408846262,1.32234920826017e-08,2.83776140092633e-05,9.84992998850283,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT2"
"CXCL10",2.49408872711411,4.72522979735429,17.34710369623,3.83066465752582e-08,4.418469676812e-05,9.04682373699703,"Upregulated (FDR < 0.01, log2FC > 0.6)","CXCL10"
"IL1B",2.09852966079322,3.74403207319548,17.2023427824695,4.11786549563094e-08,4.418469676812e-05,8.99005917373135,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL1B"
"IFIH1",2.09882192329977,3.7238532322945,16.4041297344555,6.20044471384277e-08,5.32246174236264e-05,8.66373002190934,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIH1"
"EPSTI1",2.46534898726128,3.24270054403938,13.7237955176142,2.85175915830909e-07,0.000203995838457711,7.37790349098573,"Upregulated (FDR < 0.01, log2FC > 0.6)","EPSTI1"
"MX2",1.56040723243536,3.86400488707988,13.2724692208057,3.78747578796589e-07,0.00023222637259928,7.12780730622918,"Upregulated (FDR < 0.01, log2FC > 0.6)","MX2"
"MT2A",3.29427590433993,3.46350317035092,11.9575308234298,9.12964278782309e-07,0.000436915158966209,6.3330975560996,"Upregulated (FDR < 0.01, log2FC > 0.6)","MT2A"
"SOD2",1.80897525937694,3.25218101793558,11.9525232888046,9.16178105940327e-07,0.000436915158966209,6.32986849296488,"Upregulated (FDR < 0.01, log2FC > 0.6)","SOD2"
"HMOX1",2.80903967159163,4.23995423031226,11.4096003770931,1.35183652183956e-06,0.000580208235173538,5.96988395299696,"Upregulated (FDR < 0.01, log2FC > 0.6)","HMOX1"
"SP110",1.65695908495362,4.50946178882865,11.255400267997,1.51428505957303e-06,0.000590846497789768,5.8639562411824,"Upregulated (FDR < 0.01, log2FC > 0.6)","SP110"
"SQSTM1",1.47728500170619,3.63444896178774,10.2441182292434,3.30304168810803e-06,0.00118138791044664,5.12559357661531,"Upregulated (FDR < 0.01, log2FC > 0.6)","SQSTM1"
"MX1",1.92330512473307,3.33412307617612,10.137061301405,3.60119436856269e-06,0.001181852995187,5.04272727670466,"Upregulated (FDR < 0.01, log2FC > 0.6)","MX1"
"RSAD2",2.55217744989143,3.17417423492259,10.0533500636521,3.85506568793522e-06,0.001181852995187,4.97726888402334,"Upregulated (FDR < 0.01, log2FC > 0.6)","RSAD2"
"CMPK2",1.16588254991197,3.2942313998037,9.69807982943182,5.17577362631524e-06,0.00148096136027633,4.69282479766058,"Upregulated (FDR < 0.01, log2FC > 0.6)","CMPK2"
"GBP4",1.34233720007388,4.11230939381338,9.26247218736161,7.52249013831543e-06,0.00201790797960311,4.32877413640628,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP4"
"PARP14",1.11362822360328,4.32303132808315,9.09399627457221,8.72725691553627e-06,0.00220337568714598,4.18324868466502,"Upregulated (FDR < 0.01, log2FC > 0.6)","PARP14"
"DTX3L",1.09265357664914,4.65333741776739,8.84947298364311,1.08715467011066e-05,0.0025922599133972,3.96715394733613,"Upregulated (FDR < 0.01, log2FC > 0.6)","DTX3L"
"IFIT1",1.44252756876353,4.10617079369524,8.73397317743924,1.20812449910646e-05,0.00268681536745027,3.86302101515537,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT1"
"PDCD4",-1.0254641933655,4.54783746243877,-8.69518985602146,1.25201088883983e-05,0.00268681536745027,3.82775224204217,"Downregulated (FDR < 0.01, log2FC < -0.6)","PDCD4"
"JUNB",2.14187030186548,4.18499263838851,8.0585335138976,2.29236567083963e-05,0.00468515879011605,3.22622389046196,"Upregulated (FDR < 0.01, log2FC > 0.6)","JUNB"
