"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"IL1B",2.79339337473094,4.09146393016434,16.838563108015,1.75521370334059e-07,0.000753337721473781,5.27677660940803,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL1B"
"IFIT2",2.03620247617985,2.73489806356498,12.2740660219891,1.97205274501668e-06,0.00354268746882745,4.19550070900742,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT2"
"IFIT3",1.73090010164084,3.28578828756994,11.9095352717636,2.47624939573214e-06,0.00354268746882745,4.07322382549555,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT3"
"CXCL10",1.34457999111905,4.15047542935676,10.8736263119095,4.90292855531143e-06,0.00526084233984917,3.68475994125287,"Upregulated (FDR < 0.01, log2FC > 0.6)","CXCL10"
"JUNB",1.88359229133684,4.05585363312419,10.3245936585559,7.21179876651593e-06,0.00619060806117728,3.45108080027556,"Upregulated (FDR < 0.01, log2FC > 0.6)","JUNB"
"MT2A",1.36928723062795,2.50100883349493,9.49526735744148,1.33839140957734e-05,0.00957395988317657,3.05558405592604,"Upregulated (FDR < 0.01, log2FC > 0.6)","MT2A"
"ICAM1",1.28197326245155,2.87192090647605,8.94266951643069,2.07450620468257e-05,0.0127196866149966,2.75993968767002,"Not significant","ICAM1"
"HMOX1",1.96402853412941,3.81744866158115,8.24997363818846,3.71471866209274e-05,0.0199294656221276,2.34796570959201,"Not significant","HMOX1"
"PLIN2",0.975946886721286,5.13114751755517,7.03145812819511,0.000114767771615672,0.0527168806375893,1.49272773084977,"Not significant","PLIN2"
"MCL1",0.860798521784672,4.70123600177239,6.96288409608617,0.000122825910152818,0.0527168806375893,1.43902159379298,"Not significant","MCL1"
"NAB2",0.705493040243187,4.73208217579704,5.18169262247845,0.000868994622132644,0.32467817713199,-0.203068082055727,"Not significant","NAB2"
"SQSTM1",0.790309974200156,3.29096144803473,5.09394244632648,0.000967174596075089,0.32467817713199,-0.297419857856418,"Not significant","SQSTM1"
"CLEC11A",-0.598037085451888,4.90148924884768,-5.08037109267721,0.000983414795600156,0.32467817713199,-0.312132963830003,"Not significant","CLEC11A"
"TIMP3",-0.633152249536208,4.38078819754862,-4.9747799687888,0.00112044826976762,0.343497426703046,-0.427717588388983,"Not significant","TIMP3"
"IL4I1",0.948322659017635,3.21344785363547,4.86221246415995,0.00128989120988814,0.369080871522661,-0.553115307037748,"Not significant","IL4I1"
"GLTSCR2",0.557858211352263,4.04164105903271,4.80103052953865,0.0013935677867561,0.373824558797325,-0.622216958239462,"Not significant","GLTSCR2"
"KDM5C",-0.572990713587117,3.86759349443047,-4.65379042524568,0.00168228295586913,0.410168552263333,-0.79125773514038,"Not significant","KDM5C"
"MX1",0.709378829665743,2.72715992864246,4.63652957757118,0.00172018498153308,0.410168552263333,-0.811328214010681,"Not significant","MX1"
"NFKB1",0.520429477206593,4.45032844294231,4.40979057817062,0.00231445838736409,0.522823968345614,-1.07991993042319,"Not significant","NFKB1"
"VIM",0.538263523196717,4.69793259958687,4.29851345797688,0.00268475207896745,0.576147796146415,-1.21508667156604,"Not significant","VIM"
"DAPP1",0.658075126394353,3.73301728005835,4.24728370733907,0.00287637494613483,0.587876250895748,-1.2780505595932,"Not significant","DAPP1"
"ACSL1",0.71338965848979,3.68635005497126,4.11178473494054,0.00345820145702653,0.657664606731666,-1.44680064422473,"Not significant","ACSL1"
"JUND",0.555954692642309,5.13756023728043,4.09797104251372,0.0035242977527559,0.657664606731666,-1.46418329652406,"Not significant","JUND"
"TBC1D2B",0.459890971323913,3.83113126980789,4.02157582369828,0.00391530068000046,0.697288650160468,-1.56090813455733,"Not significant","TBC1D2B"
"ARIH1",0.607038560993453,3.53977073740708,3.97385127069142,0.00418309701912462,0.697288650160468,-1.62183735327443,"Not significant","ARIH1"
"PAXBP1",0.613094638627536,4.36691392059632,3.94313055305116,0.00436586030515322,0.697288650160468,-1.66126127818206,"Not significant","PAXBP1"
"UXS1",0.48642626543319,4.42926193910592,3.92795769009842,0.00445927673261239,0.697288650160468,-1.68079096254169,"Not significant","UXS1"
"DTX3L",0.487172728602006,4.35059699374382,3.88588156881978,0.00472974708224156,0.697288650160468,-1.73514948891444,"Not significant","DTX3L"
"LTN1",0.487472788429049,3.69671310652144,3.85364082867597,0.00494890033778764,0.697288650160468,-1.7769994937799,"Not significant","LTN1"
"GPSM3",-0.44589956060384,4.29786869202027,-3.84584689320367,0.005003497803631,0.697288650160468,-1.78714197802789,"Not significant","GPSM3"
"RET",-0.443370220469944,3.92220746398499,-3.82512998360471,0.00515178692777747,0.697288650160468,-1.81414968553599,"Not significant","RET"
"KDM4A",-0.478338777104004,4.36952434585462,-3.81869559518338,0.00519879701890377,0.697288650160468,-1.82255210839811,"Not significant","KDM4A"
"ZNFX1",0.7869098467451,3.45292752751352,3.73317458045926,0.00586921003381248,0.763353014094642,-1.93486260976089,"Not significant","ZNFX1"
"TAX1BP1",-0.434885009403854,3.80621783376516,-3.70651491078487,0.00609666867321713,0.769614763101409,-1.97011062211478,"Not significant","TAX1BP1"
"SMG9",0.463276224926123,3.57429530512702,3.66297389871132,0.00648865644018847,0.787802080901591,-2.02791620867867,"Not significant","SMG9"
"CCL5",0.520725146693556,3.80347612089272,3.64004765288005,0.00670579465093472,0.787802080901591,-2.05847056965984,"Not significant","CCL5"
"APP",-0.488050026764944,4.096836365226,-3.63122631842764,0.00679139724915165,0.787802080901591,-2.07024829063104,"Not significant","APP"
"PARVG",-0.481934342851901,5.00713397913878,-3.60950134739667,0.00700722618951841,0.791447758037184,-2.09930429981559,"Not significant","PARVG"
"CETN3",-0.415348759392513,5.01222655676318,-3.56164863025169,0.00750883617204098,0.826357047446151,-2.16355328035861,"Not significant","CETN3"
"RPRD1A",0.411034623864569,3.92414128306153,3.54351350454279,0.0077088091826035,0.827155225293356,-2.18799029426443,"Not significant","RPRD1A"
"TP53BP2",0.50935336642787,3.15532472365066,3.49082492969829,0.00832260877067963,0.834440946789758,-2.25925701730788,"Not significant","TP53BP2"
"RIPK1",0.487828245309142,3.80627472739654,3.48151373829304,0.00843637879398643,0.834440946789758,-2.27189238015514,"Not significant","RIPK1"
"FOSL2",-0.436942686538298,4.38233901701764,-3.48062275287066,0.00844735169036089,0.834440946789758,-2.27310209277665,"Not significant","FOSL2"
"SOD2",0.722786821018163,2.70908679875619,3.47199605551243,0.00855438062878596,0.834440946789758,-2.28482051240479,"Not significant","SOD2"
"NCSTN",-0.470314932903074,5.01521749609834,-3.43563001146186,0.00902164351674313,0.853247638738968,-2.33433315299752,"Not significant","NCSTN"
"KPNA1",0.465803699449046,4.14806979904944,3.42637896016009,0.00914477897996098,0.853247638738968,-2.34695743700525,"Not significant","KPNA1"
"TMEM106B",-0.39202507821589,3.39922700023047,-3.38000790328398,0.00978941774994521,0.88806365129227,-2.41041000758505,"Not significant","TMEM106B"
"ANAPC7",-0.436833193587144,3.44523069670384,-3.3679117813387,0.00996537216890031,0.88806365129227,-2.42700865268198,"Not significant","ANAPC7"
"GTF3C5",0.421729581137593,4.58454610329436,3.35621804347003,0.0101386577151261,0.88806365129227,-2.4430732018985,"Not significant","GTF3C5"
"GGPS1",-0.38717992786708,4.83896333581246,-3.28197273622206,0.0113158948615777,0.890794307786762,-2.54547330368134,"Not significant","GGPS1"
"GFI1",-0.38351778686447,4.54206910513668,-3.26614183830377,0.011585091984865,0.890794307786762,-2.56739520262236,"Not significant","GFI1"
"ARFIP2",-0.581585624040067,3.60738840108584,-3.26367592791562,0.0116276279733306,0.890794307786762,-2.5708125815329,"Not significant","ARFIP2"
