Protein Accession,Fusion Probability,Fused,Cluster Number
Q96AT9,0.076,0,NA
P35625,0,0,NA
Q86VP1,0,0,NA
O94830,0,0,NA
Q9GZN8-2,0,0,NA
Q9NX08,0,0,NA
Q9UI30,0.002,0,NA
Q8N5M9,0,0,NA
P13612,0.992,1,20
P04920,0,0,NA
Q5RI15-2,0,0,NA
P53367,0,0,NA
P42575,0,0,NA
O00418,0,0,NA
P04040,0.002,0,NA
O43516-3,0,0,NA
P62841,0,0,NA
Q8WTS6,0.05,0,NA
P61970,0,0,NA
Q92688,0,0,NA
O60262,0,0,NA
Q969E4,0.002,0,NA
Q15631,0,0,NA
Q9Y3B8,0.244,0,NA
Q8IW45,0.006,0,NA
Q5JTV8,0,0,NA
Q5JU69,0,0,NA
P13798,0.002,0,NA
Q9H3K2,0.882,1,49
P01730,0,0,NA
Q13137-4,0,0,NA
Q9NWU2,0,0,NA
O95219,0,0,NA
O00221,0.002,0,NA
Q9C010-2,0,0,NA
Q96DE0,0.838,1,20
Q13630,0.878,1,17
Q92783,0.002,0,NA
Q6BCY4,0,0,NA
Q5TC84,0.002,0,NA
Q562E7,0.01,0,NA
O15121,0,0,NA
Q8NCF5,0.11,0,NA
P62328,0,0,NA
Q9Y3D2,0,0,NA
P39687,0.97,1,18
Q9H2Z4,0,0,NA
O43566,0,0,NA
O00264,0,0,NA
P16930,0.006,0,NA
O43805,0.926,1,18
Q9Y5X1,0,0,NA
P62633-6,0.004,0,NA
Q9BVC5,0.004,0,NA
Q13867,0.004,0,NA
