Protein Accession,Fusion Probability,Fused,Cluster Number
Q15785,0.872,1,18
P80297,0.002,0,NA
Q9HA64,0.582,1,14
Q99536,0.944,1,14
Q99733-2,0.854,1,18
Q9H3K6,0.002,0,NA
O00584,1,1,14
Q9BPW9-4,0.9,1,14
Q8NBT2,0.996,1,14
Q8WW12,0.862,1,18
P16150,0.97,1,14
P20702,0.944,1,14
Q15004,0.896,1,14
P19793,0.716,1,14
Q6XQN6,0.906,1,17
Q14493,0.004,0,NA
Q9HC38-2,0.734,1,17
Q9GZU8,0.996,1,14
Q9BV40,0.986,1,14
Q15274,0.996,1,14
P28072,0.998,1,17
Q9BZD4,0.338,0,NA
P08397,0.71,1,18
O60504,0.354,0,NA
Q14157-5,0.832,1,17
O14745,0.986,1,14
