Time,1,2,3,4,5,6
0,0,0,0,0,0,0
2,1.956,1.526,0,0,6.61,0.462
4,5.284,3.112,2.85,3.714,5.408,5.948
6,18.642,10.662,9.306,15.082,13.834,20.044
12,28.378,21.908,27.484,33.94,43.368,23.788
24,103.25,104.884,96.226,125.696,164.982,146.726
