"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"IL1B",1.64701891486273,3.51827670023024,10.9974237661936,4.48696917657135e-06,0.0192580717058442,1.27109506079674,"Not significant","IL1B"
"JUNB",2.00779238516735,4.11795368003945,8.42899203371871,3.17367592886335e-05,0.0681070854334074,0.660137635626249,"Not significant","JUNB"
"MCL1",1.03058263306031,4.78612805741021,7.52842767019834,7.10170227054193e-05,0.101601687150553,0.34359197389777,"Not significant","MCL1"
"BRI3BP",-0.806371057083141,4.53945668406438,-5.73566707863468,0.000452183929143086,0.464314762862466,-0.540847824155018,"Not significant","BRI3BP"
"GCA",0.711255334402239,3.31467079456017,5.57980080782472,0.000540907226074634,0.464314762862466,-0.638199255856736,"Not significant","GCA"
"PLIN2",0.688599567293629,4.98747385784134,5.31700034457376,0.000737071284447785,0.466395716659031,-0.811149036419017,"Not significant","PLIN2"
"PNPLA6",0.690542912667566,3.77116159910037,5.29068274526611,0.0007606640299658,0.466395716659031,-0.829097627494524,"Not significant","PNPLA6"
"ICAM1",0.654265843230866,2.55806719686571,4.96221238828432,0.00113635863813293,0.580551345857077,-1.06315206358448,"Not significant","ICAM1"
"GLTSCR2",0.727626082753343,4.12652499473325,4.85485156917009,0.00129998260009711,0.580551345857077,-1.14379901442386,"Not significant","GLTSCR2"
"NFKBIE",-0.679597087161347,4.02701363754496,-4.81516211042449,0.00136684130893207,0.580551345857077,-1.17414405054873,"Not significant","NFKBIE"
"KPNA1",0.624739402417406,4.22753765053362,4.74841048437916,0.00148789953504843,0.580551345857077,-1.22583365391615,"Not significant","KPNA1"
"TIMP3",-0.567111827252841,4.4138084086903,-4.6452132181348,0.00169866335051525,0.607555258367622,-1.30737552179957,"Not significant","TIMP3"
"C18orf25",-0.774354364181971,3.75865644092706,-4.43367548357038,0.00223957776426141,0.612982942304409,-1.48081375248125,"Not significant","C18orf25"
"MT2A",1.08395798541809,2.35834421089,4.41669077401321,0.00229049983428228,0.612982942304409,-1.4951106611165,"Not significant","MT2A"
"NACC1",0.54063892527382,3.71886227127101,4.33152095874271,0.0025654998091928,0.612982942304409,-1.56764280815614,"Not significant","NACC1"
