"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"IL1B",3.95600232360138,4.67276840459956,34.2557339123587,3.56644218235942e-10,1.53071698466867e-06,13.7198377387691,"Upregulated (FDR < 0.01, log2FC > 0.6)","IL1B"
"GBP2",3.12950160145032,4.87516133081998,26.6935736713452,2.73492063596835e-09,4.20423368050371e-06,12.0472343558911,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP2"
"GBP3",3.83167896799937,4.87511010266841,25.877785831058,3.5217320800848e-09,4.20423368050371e-06,11.8250760559921,"Upregulated (FDR < 0.01, log2FC > 0.6)","GBP3"
"IFIT3",4.15182675275419,4.49625161312661,25.3295769602197,4.19245890210145e-09,4.20423368050371e-06,11.6702251108942,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT3"
"IFIT2",4.07822032195631,3.7559069864532,24.6835564677902,5.17335835354306e-09,4.20423368050371e-06,11.4817198223281,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT2"
"IFI16",2.84086915997844,5.04937274707378,24.2994030984954,5.8773071022885e-09,4.20423368050371e-06,11.3664113489942,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFI16"
"MMP9",3.58155117562446,4.07964215748435,23.6435856277479,7.34124532249698e-09,4.50123213202244e-06,11.1637779043147,"Upregulated (FDR < 0.01, log2FC > 0.6)","MMP9"
"ICAM1",3.65398397744444,4.05792626397249,20.7213001006806,2.14039043868924e-08,8.74181271825054e-06,10.1623042964955,"Upregulated (FDR < 0.01, log2FC > 0.6)","ICAM1"
"IFIT5",2.32990773264793,4.414205360762,20.5273277698847,2.30966594422957e-08,8.74181271825054e-06,10.0895168950743,"Upregulated (FDR < 0.01, log2FC > 0.6)","IFIT5"
"SRC",2.33968622761308,5.58429840928908,20.4379228438006,2.39269286372976e-08,8.74181271825054e-06,10.0556788633803,"Upregulated (FDR < 0.01, log2FC > 0.6)","SRC"
"ISG15",2.29246422277156,5.08009602949508,20.2391407996011,2.58953728145127e-08,8.74181271825054e-06,9.97978061162558,"Upregulated (FDR < 0.01, log2FC > 0.6)","ISG15"
"CMPK2",2.47784833390483,3.95021429180013,20.1873015427102,2.64380692140627e-08,8.74181271825054e-06,9.95983563867434,"Upregulated (FDR < 0.01, log2FC > 0.6)","CMPK2"
