"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Significance","GN"
"EIF2B2",-0.253680328334737,4.2391819193839,-1.80631605105597,0.111722535219737,0.353528670223091,-5.66540204235206,"Not significant","EIF2B2"
"CRK",-0.242740008479586,3.69074758310671,-1.8060006411736,0.111775024578922,0.353528670223091,-5.66584684056657,"Not significant","CRK"
"DYNLRB1",-0.640390917939257,3.84506606130349,-1.80544546123287,0.111867472785893,0.353560525181924,-5.66662969605601,"Not significant","DYNLRB1"
"DECR1",-0.255317642193927,5.08446110075707,-1.80193125753972,0.112454350868927,0.354883036686729,-5.67158291768807,"Not significant","DECR1"
"CTDSPL2",-0.262787922809541,3.98653887435894,-1.80145539217922,0.112534046685977,0.354883036686729,-5.67225335942397,"Not significant","CTDSPL2"
"SERBP1",-0.20629066803757,5.12092126405828,-1.80098822735448,0.112612337786351,0.354883036686729,-5.67291147703301,"Not significant","SERBP1"
"RNASEL",0.255334556042219,4.31493352682303,1.79965805685203,0.112835542742229,0.354883036686729,-5.67478499356724,"Not significant","RNASEL"
"BET1",-0.235576799580883,4.86315355847207,-1.79947375454022,0.112866502257715,0.354883036686729,-5.67504453747735,"Not significant","BET1"
"CPSF1",-0.209035465184,4.20997099388027,-1.79896709457777,0.112951653886881,0.354883036686729,-5.67575798921576,"Not significant","CPSF1"
"RB1",0.347855769209426,4.49143040521717,1.79872410683242,0.112992513270227,0.354883036686729,-5.67610012428897,"Not significant","RB1"
"RBPJ",0.218755640268679,5.54414296835689,1.7986856225925,0.1129989858454,0.354883036686729,-5.67615430978724,"Not significant","RBPJ"
"OTUB1",-0.224809512512711,5.29143043875814,-1.79850076338862,0.113030081815181,0.354883036686729,-5.67641458383369,"Not significant","OTUB1"
"RPE",-0.276192840659282,4.52730429811542,-1.7974117320312,0.113213438201539,0.355198886521204,-5.67794768553307,"Not significant","RPE"
"PIN4",-0.250782492670901,5.03525833708624,-1.79559164667581,0.113520512747694,0.355902148073853,-5.68050914141301,"Not significant","PIN4"
"COX20",-0.594378066227823,4.07811513817217,-1.7938161894952,0.113820822688778,0.356200862607126,-5.68300682510298,"Not significant","COX20"
"DPYD",-0.247410985775295,4.93812529670553,-1.79372112350925,0.113836923973372,0.356200862607126,-5.68314053540042,"Not significant","DPYD"
"GRHPR",-0.226233777173657,5.05097070970672,-1.79314718695358,0.113934177471887,0.356200862607126,-5.68394771882042,"Not significant","GRHPR"
"PYM1",-0.24828907166852,4.83606927958899,-1.79294656555914,0.113968191418623,0.356200862607126,-5.68422984882211,"Not significant","PYM1"
"CD38",0.272387880834516,4.44413985165562,1.79234296512691,0.11407058598015,0.356200862607126,-5.68507860672025,"Not significant","CD38"
"RPRD1A",-0.218771541477204,3.60923820039064,-1.7920887141007,0.114113743263001,0.356200862607126,-5.68543609081031,"Not significant","RPRD1A"
"PDCL3",-0.225164204925137,4.94529939218433,-1.79154048852941,0.114206853546581,0.356232423998491,-5.68620684444002,"Not significant","PDCL3"
"ADPRHL2",0.284688567499863,3.93428739139555,1.7891955745987,0.114605929584617,0.35712317077987,-5.68950253916353,"Not significant","ADPRHL2"
"NFU1",-0.225841709598071,5.23998918133816,-1.78888528088127,0.114658837216836,0.35712317077987,-5.68993852038901,"Not significant","NFU1"
"ESYT1",-0.201359173599311,4.70519951678197,-1.78798728898671,0.114812083299461,0.357174719052852,-5.69120008675151,"Not significant","ESYT1"
"RPS27A",0.260095706364336,4.32222130260866,1.78738382629055,0.114915176274581,0.357174719052852,-5.69204773770424,"Not significant","RPS27A"
"ERO1A",-0.222981950152159,4.93193216564565,-1.78634065691606,0.115093594715991,0.357174719052852,-5.69351275721349,"Not significant","ERO1A"
"POLR3C",0.203683076552939,4.71451637986349,1.78634037662025,0.115093642691793,0.357174719052852,-5.69351315081402,"Not significant","POLR3C"
"MRRF",-0.214097791468044,4.26379617847109,-1.78604907703179,0.115143512205315,0.357174719052852,-5.69392219017326,"Not significant","MRRF"
"AKR1B1",-0.267028312159424,5.39994992926882,-1.78542140386218,0.11525103765941,0.357174719052852,-5.69480347265041,"Not significant","AKR1B1"
"MKLN1",0.433929496192566,3.41451872625346,1.78538125678491,0.115257918426887,0.357174719052852,-5.69485983690384,"Not significant","MKLN1"
"GALNT7",-0.212338426386584,5.3647263645072,-1.7847227723537,0.115370831223725,0.357266672158895,-5.69578424151066,"Not significant","GALNT7"
"SMARCA5",0.204315760814546,5.08724747340649,1.78409298065966,0.115478922446648,0.357325829826853,-5.69666824134544,"Not significant","SMARCA5"
"NSA2",0.224644492345832,4.84039633716197,1.78363951377105,0.115556810685935,0.357325829826853,-5.69730466924357,"Not significant","NSA2"
"SRM",-0.213234972389187,5.02321261869057,-1.78315726984982,0.115639696558597,0.357325829826853,-5.69798141533033,"Not significant","SRM"
"MPI",-0.203608409777327,5.05241909448764,-1.78224768487979,0.115796185824799,0.357551963712257,-5.69925766546046,"Not significant","MPI"
"PHF14",0.20855885038683,3.5786918141969,1.78033949934989,0.116125133827551,0.358309902507441,-5.70193423355243,"Not significant","PHF14"
"PTGR1",-0.23042349653176,4.94587796444763,-1.77899791382833,0.116356938708251,0.358767227683775,-5.7038153694725,"Not significant","PTGR1"
"LMNA",0.29931210726037,3.74390117318944,1.77655574498833,0.116780036836133,0.35981329368319,-5.70723827879107,"Not significant","LMNA"
"APEH",-0.257896660450847,5.26336168454226,-1.77459754658643,0.117120344488995,0.36053072354035,-5.70998151933707,"Not significant","APEH"
"FBXO22",0.200127100419706,3.71078528618848,1.77386093875712,0.117248600423417,0.36053072354035,-5.71101312327524,"Not significant","FBXO22"
"IRGQ",0.20401526752135,4.44887801843419,1.77376746202293,0.117264885848632,0.36053072354035,-5.71114402335646,"Not significant","IRGQ"
"SERPINB8",-0.208726216866074,5.48912559509592,-1.76877250545182,0.118138233783008,0.362951763271412,-5.71813471886669,"Not significant","SERPINB8"
"NACC1",0.222437040654699,3.55976132896145,1.76820441550926,0.118237952251097,0.362951763271412,-5.71892929222311,"Not significant","NACC1"
"RHEB",-0.217190182844207,4.87605599810237,-1.76781679414141,0.11830603840091,0.362951763271412,-5.71947139016434,"Not significant","RHEB"
"BCKDHA",-0.27397496247273,4.47120429566819,-1.76557812203137,0.118699992414843,0.363665993006555,-5.72260129805898,"Not significant","BCKDHA"
"CD2BP2",-0.200466936953372,5.24373483730893,-1.7655309464354,0.118708307596035,0.363665993006555,-5.72266723761508,"Not significant","CD2BP2"
"AK2",-0.201283438271931,5.07767566359522,-1.7635591296289,0.119056355183969,0.364472094471895,-5.72542270724781,"Not significant","AK2"
"SNX6",0.204474724484119,5.18527974652984,1.76155848204115,0.119410480888925,0.365175568650574,-5.72821720203455,"Not significant","SNX6"
"HMG20A",-0.26467032421876,4.62436489045841,-1.7612999590867,0.119456313696506,0.365175568650574,-5.72857821256404,"Not significant","HMG20A"
"SNAP23",-0.217173269772625,4.3559049037992,-1.75960848533779,0.119756602162714,0.365748099198348,-5.730939719214,"Not significant","SNAP23"
"HMGN3",-0.299403705302171,5.37849986400192,-1.75921417502615,0.119826707123075,0.365748099198348,-5.73149009371646,"Not significant","HMGN3"
"NARS2",-0.207330812730107,3.50315966956459,-1.75880638973851,0.119899248735339,0.365748099198348,-5.73205922410297,"Not significant","NARS2"
"RBM12",-0.211576445660394,4.67682852996848,-1.75698811647518,0.120223211300686,0.366241087749038,-5.73459627004215,"Not significant","RBM12"
"RUNX1",-0.222113012338503,4.71553830199298,-1.7555495981673,0.120480100282403,0.366241087749038,-5.73660268963307,"Not significant","RUNX1"
"CD33",-0.232282003815373,5.34593787165968,-1.75524163315724,0.120535163872692,0.366241087749038,-5.7370321471904,"Not significant","CD33"
"OGFRL1",-0.23224284561453,4.04156124320773,-1.75504545313914,0.120570252937243,0.366241087749038,-5.73730570452246,"Not significant","OGFRL1"
"CRYL1",-0.427896927282837,3.36836272979593,-1.75481316498372,0.120611812871698,0.366241087749038,-5.73762959572848,"Not significant","CRYL1"
"TRAPPC4",-0.265415781664984,3.69145405079008,-1.75438100929514,0.120689168301117,0.366241087749038,-5.73823212613877,"Not significant","TRAPPC4"
"CPPED1",-0.202890556294284,4.78508055488486,-1.75427099646994,0.12070886798816,0.366241087749038,-5.73838550122709,"Not significant","CPPED1"
"ENO1",-0.210581581967231,5.91837365135856,-1.75374473797974,0.120803145754011,0.366241087749038,-5.73911913387363,"Not significant","ENO1"
"ASL",-0.199921090040981,5.19885377374193,-1.75340988649536,0.120863169780325,0.366241087749038,-5.73958588832021,"Not significant","ASL"
"HM13",0.219243550754979,5.00413847216683,1.7526710771328,0.120995705471229,0.366241087749038,-5.74061559751426,"Not significant","HM13"
"LGALS3BP",0.206856912506323,4.78198466479018,1.75240233690633,0.121043949154994,0.366241087749038,-5.74099010812793,"Not significant","LGALS3BP"
"MLYCD",0.215613852883269,4.2580032389206,1.7521746734974,0.121084833065211,0.366241087749038,-5.7413073566919,"Not significant","MLYCD"
"RPS6KA2",-0.19468269947746,4.86603860381861,-1.75092259440673,0.121309915853002,0.366627214906639,-5.74305182680555,"Not significant","RPS6KA2"
"PELO",0.194373566548328,4.83075700792665,1.75017718689991,0.121444103740416,0.366627214906639,-5.74409013101859,"Not significant","PELO"
"OTULIN",0.200316407777262,4.76646372066837,1.75004033101218,0.121468755730951,0.366627214906639,-5.7442807427873,"Not significant","OTULIN"
"SLC22A18",-0.213275435047852,4.62356424774426,-1.74929879949804,0.121602410941346,0.366646391204911,-5.74531343609827,"Not significant","SLC22A18"
"PTPN23",0.195254833067203,3.91124885253097,1.74896068322063,0.12166339992815,0.366646391204911,-5.74578425417222,"Not significant","PTPN23"
"ATP2B4",-0.25203299924155,4.62132816564969,-1.74853840989928,0.12173960971093,0.366646391204911,-5.74637220652262,"Not significant","ATP2B4"
"SCLY",-0.212937209824373,4.83393303240816,-1.74811089634818,0.121816811243757,0.366646391204911,-5.74696739600446,"Not significant","SCLY"
"PTGS1",-0.268985454841119,4.74717528975897,-1.74699472710754,0.122018590475548,0.366830954123038,-5.7485210595884,"Not significant","PTGS1"
"DOCK11",0.23769474071487,4.83765894325392,1.74682628498523,0.122049068613164,0.366830954123038,-5.74875548911472,"Not significant","DOCK11"
"APOBEC3C",0.291960870680346,4.41569034370031,1.7462733152765,0.122149174315007,0.366844668183423,-5.74952502029238,"Not significant","APOBEC3C"
"COPS3",-0.300754702308817,4.88508932250854,-1.745857096086,0.122224574907338,0.366844668183423,-5.75010417901868,"Not significant","COPS3"
